# S3-async u100-slots-120 — 2026-09-22 14:14:54
# base=http://localhost:8080 users=100 duration=300s topic=MOVIE_WATCHING/LEVEL_3 audio=scripts/test_audio.webm
# 서버 기동 명령을 여기 손으로 적을 것:
#   
user attemptId                             q   http  submit_s  complete_s
48  0b6c6380-7e5d-465b-97a4-4429c6c294cd  3   202   0.033695  20.5
49  10b56100-f772-48cd-9070-42c215b099f7  2   202   0.018622  12.3
49  015d4a2e-70c8-4372-acca-6145c9e1ad1b  3   202   8.453431  70.0
50  a249cb3d-2dfd-4aa9-99b6-38d2ea1532ac  3   202   0.020252  73.0
50  962d690d-a128-4266-8609-9a7b278b9a74  3   202   0.021402  20.6
51  3e29cdc7-b116-4d2a-8ad8-0e226315b66d  2   202   0.022801  20.4
51  b20d1098-48aa-45ab-bbab-8a3adbea629d  2   202   0.023080  12.3
51  bc7c85cf-5b05-4bdf-8164-728f3cd0c3fd  2   202   7.058670  80.1
52  3fc71704-784a-4e14-bef1-0d3e827602ab  3   202   0.013681  18.4
52  1a34661c-401b-439f-b781-92a25dea7073  3   202   9.736101  57.2
53  e93bef90-e094-4a8a-83e1-0ff459c230b7  3   202   0.015811  16.3
53  c9c9beb8-d25f-4177-b518-245ea1773e06  2   202   0.025610  10.3
53  c43b853d-6f1b-43f6-9538-8a80044c1d49  3   202   3.879600  57.3
54  9fb71acf-46ba-4d30-ba59-23a72d514039  2   202   0.019935  26.6
54  067de796-e4ba-4865-b7a8-fe46e09e8fa9  3   202   9.913457  57.3
55  b996c38d-4bef-4f1f-9440-81b516c10dd3  3   202   0.019516  24.4
55  1b5841ef-5cf4-4629-838f-3b73e589409c  3   202   0.023893  12.3
55  d8025bae-9ecd-4500-bbbd-3dea64c3136e  2   202   4.301275  65.3
56  cd93a263-b43d-49f1-a2fd-e33eba921f87  3   202   0.019012  14.3
56  040146d8-318f-48d4-9703-d854d27b4e5c  3   202   8.825023  56.2
57  97108ab7-200d-4218-99b6-20e18c8cc2ae  3   202   0.023923  18.4
57  e675cdcf-34cc-408e-9017-8f21b3b9fb80  3   202   8.824489  56.2
58  6fba4e1b-2391-4ec8-970a-301fed450e1b  2   202   0.020895  10.3
58  11efd1f7-89fb-4d59-a200-b37e7ac8c0cf  3   202   0.028389  73.1
59  7be8f8e0-0a62-41d3-ad32-006e6d36696a  3   202   0.024045  14.3
59  487563e7-7c55-4cdb-9a5a-3608102fc482  3   202   0.029512  14.3
59  d2ca6a9b-46c0-450a-99ba-43c406346a03  2   202   0.030112  10.2
60  0d28230c-3b20-47dc-ab5c-27db33a45636  3   202   0.016866  26.5
60  cc47a0bc-4b18-4757-a3a5-958355fad698  3   202   0.021357  85.3
61  30a9e8fb-1d69-429f-9257-ad366a22c72b  3   202   0.016568  16.3
61  d3610540-9de6-406b-ad65-3a3bf67a6309  2   202   0.024188  16.4
61  cd96ae45-d7d3-49a1-9b24-1c2bc21994ec  3   202   8.150080  39.3
62  470e940d-3da5-4c45-a3c2-88bfa9483c63  3   202   0.025461  22.4
62  74b4616b-7db8-42ca-b949-9ec72c063822  2   202   0.026279  16.4
62  b0ba8492-0094-49a7-86bf-fc9454a20db9  3   202   0.027317  32.4
63  d2776f1e-a8a4-4a8f-83da-c198651261c9  3   202   0.021639  22.7
63  f5914b77-cdd8-4d44-8347-b020d8ac86c7  3   202   7.684914  69.6
64  4b7a64e1-c211-427e-aa4f-3897d22183f9  3   202   0.022272  16.4
64  3a9a4f29-aa4c-4628-a37b-fc7f313ccee7  3   202   0.028630  44.7
65  88b4f830-3be3-4f9b-9672-743ac4a6e3ee  3   202   0.022021  16.3
65  715004f3-9167-430d-a88b-268d3e3e9c48  2   202   0.025532  10.2
65  5e5fea9f-9434-4a9b-896e-d475368b517d  3   202   9.831921  43.0
66  c8cdd9de-8ce3-4b4c-b02d-f9dd25cbf430  2   202   0.024729  14.8
66  3dd7a603-5f92-4acc-bd2a-90bd4bffe319  3   202   0.028172  10.3
66  e008e6aa-95fa-4ed7-8071-7afc3959fa0a  3   202   0.028501  24.5
67  7dbe9616-ce22-416f-9d72-e5b9cc4c1615  3   202   0.013205  75.1
67  49db28e0-cacd-4432-aa37-56b591bbed93  2   202   0.023073  18.4
68  b93e5a88-c82c-4c7b-81a8-4edd85311f58  3   202   0.019709  73.4
68  80b171d2-6e94-421d-a830-111a53281370  3   202   0.022253  20.6
69  dbfa0ebc-d78b-4406-a07f-0244951db793  3   202   0.018936  16.3
69  6e0618fb-83db-4478-a940-fdb4b89abae5  3   202   6.635255  98.9
70  86789b25-d2c8-41d6-b0e8-0164fca2602e  3   202   0.017783  22.6
70  83d28fb1-f72b-4f16-9983-476e9c255bc1  3   202   7.632615  68.8
71  9c5c777f-0752-4b4d-866b-56adf76416bc  3   202   0.018757  24.5
71  00c199e2-4c64-4ef4-9e65-5fe1022de666  3   202   0.019190  72.9
72  18327049-870d-4eb6-a29a-71c986320f7d  2   202   0.020759  20.6
72  99850fb6-84ae-429d-b668-3a8e268408d3  2   202   0.022640  16.3
72  1763ab3c-ecdf-4e53-8928-7ca2113fa1fc  3   202   9.832305  56.8
73  7527ac1b-8983-465e-b147-efe91f13d7bf  3   202   0.021298  26.5
73  a81793b6-1daa-47bb-90a1-e111dd0fc79c  3   202   0.021632  44.5
73  255aace1-ca85-47bd-b96e-e47e30d900ef  2   202   0.023591  16.5
74  cfdc5055-8adb-4a14-8421-84687dca28df  3   202   0.014993  30.5
74  ab806902-530a-4b40-9b7b-3900c9332fb3  3   202   6.707729  68.3
75  03821ec2-f668-451c-8d44-6107a72d8b36  3   202   0.020784  12.4
75  0f26536e-4871-4b0b-8b96-345d23de2a2b  3   202   0.021054  16.3
75  76cb8c87-7ed8-4fae-813d-1eae9c23fd57  3   202   3.612296  34.6
76  e3099b96-20c9-4be0-b718-b5b0b71dd58a  3   202   0.018927  40.8
76  8c1d839b-bafe-464a-b827-c8f7c295fa20  3   202   0.023235  24.7
77  d63d7013-b456-4e99-9db4-4892894696d0  3   202   0.018044  22.4
77  3e52b2c1-544d-4312-88c6-fd59e17db523  3   202   6.430946  68.3
78  968584ea-04a1-43b9-98c6-b028a92379ac  3   202   0.021554  26.5
78  aa04176d-fdbf-45bb-841d-67f20350b06e  3   202   6.722675  103.3
79  1ca73fb9-d1fa-47ae-890e-3a0d63c31c09  2   202   0.014292  14.3
79  dddbed18-da8f-4449-aa2b-de8a455b0539  2   202   0.017484  16.3
79  3d686461-7346-4ee4-a3be-5b757c6a222d  3   202   0.023908  32.6
80  130f5f9f-8468-4d9f-b928-ee977fd2ccf1  3   202   0.021213  22.5
80  b1be9bdf-6571-48eb-b3d3-c4e08542ca0f  3   202   0.029775  16.3
80  1804f3a3-04ea-423c-a604-4d251ff19b6c  3   202   0.034309  28.5
81  165ee3e0-7467-4cb7-ac5f-a0e65d592193  3   202   0.020152  14.3
81  884c951a-7cdb-4acf-9d01-995ede246fb8  3   202   9.403171  56.6
82  944a6680-a557-4768-8d33-2aa0615d7fa2  3   202   0.017344  18.4
82  2a228b8e-e556-4d42-b549-dcfa3e59a57b  3   202   0.030213  36.4
82  6035ccce-0328-4a42-b8c6-01791d16ff90  3   202   0.030459  20.4
83  c079303e-c7eb-4e84-8554-c0752a4d93aa  3   202   0.022914  40.4
83  119c6940-835e-41e8-8745-e30cdaf7fd72  3   202   0.037007  20.5
84  00a1eb2c-bee2-43ab-9ab1-5b1b71ab05d3  2   202   0.011943  18.4
84  3c2850a2-c9cc-4768-a598-46ea687c3b0a  3   202   0.020723  22.4
84  229c7456-f980-4f72-a5fb-9c4f7bebd2e8  2   202   3.376847  72.4
85  7b06852c-639c-44e1-a6e5-7c55cffdb912  3   202   0.019701  36.6
85  76e2edab-e4a1-4ce1-a03b-55d973b0d946  3   202   0.023168  30.6
85  8565573c-ee71-4be9-859a-c998691259cb  3   202   0.028552  12.3
86  15d3910a-1f54-4609-9f81-250cca91a2d2  3   202   0.025510  44.5
86  f0c87f32-6688-4907-a559-3577040118a7  3   202   0.027002  24.5
87  0b245333-ffcf-4953-96c3-dc87120517a0  3   202   0.024428  41.1
87  74ecce03-7c8d-48ac-be31-d233130249a5  3   202   0.025550  24.6
88  d339b7e4-90b2-40f1-b2d5-569a6ee79825  2   202   0.018340  20.4
88  bf8a0bae-0ab9-4513-bb9e-5bd6998207cb  3   202   7.632409  85.7
89  afc546d0-19dc-41a5-8907-216fa69e97fd  2   202   0.018473  20.4
89  8a2d2996-e96d-414b-a90e-f310d6a470a2  3   202   8.624430  102.6
90  8e6cbd03-b0c7-49fb-9810-18927385aa94  3   202   0.017209  14.4
90  764d1cf0-88e8-437d-bb5f-70950c0cc396  3   202   8.294162  70.2
91  54731e97-a568-4fc3-a836-a2ccf6eaa9c0  2   202   0.019696  20.5
91  ed218634-2ed5-4dc3-b7a8-0de0994e9499  3   202   8.494424  100.3
92  0ec73996-2d6f-4719-a640-d2936c647fdf  3   202   0.019004  10.3
92  6eeb4a8e-f4cc-4ff8-a0ae-e2238ed1846b  2   202   0.019764  30.7
92  c91169a4-b0aa-4771-9f2f-ec11bbd6b4f3  3   202   0.023586  44.7
93  793e8b07-8cd4-4400-8cfe-8c6df4e26a9c  2   202   0.019234  20.4
93  85d77a3a-e362-4ddf-860d-c5e8125345db  3   202   8.249703  86.0
94  3f65996c-bd55-4538-a87a-f647fa5bd862  3   202   0.014641  72.9
94  ca3d69c8-2c6d-439d-9907-d0c210bd063b  2   202   0.020330  26.6
95  899a5c7a-8ef5-4e15-924f-450b3841ca6e  3   202   0.020652  24.5
95  de40990a-9c6d-4e50-bd88-8f0dd15835f9  3   202   0.021488  38.6
96  cccf9aa7-a64f-4d5a-b456-98b8306cebc9  3   202   0.016602  32.5
96  fdbb2a7d-bcf0-420f-9a02-5d86a10b2dd0  3   202   0.022060  20.3
96  1c447cbc-9cbf-4363-84a8-43bfcfe68c58  2   202   0.025716  10.3
97  debcab52-7c2f-43b1-a351-7ebb59781dfa  3   202   0.022678  16.3
97  a69cdeb2-d5dc-4901-99f1-9691e4e93d9d  3   202   7.674592  69.3
98  49e205b9-36dc-463e-9781-9cc26f2e622c  3   202   0.020858  48.5
98  c42f6688-3190-49d3-a906-aee212e113d8  3   202   0.027421  22.4
99  79bafb5b-1fbd-40a9-a209-19a050f378c3  3   202   0.011714  89.0
99  7660c087-7cbb-4462-a674-326a10fc1070  2   202   0.027479  20.4
100 d8308b09-7e42-4d5a-bc21-3ea5d7a8e84d  3   202   0.021703  20.7
100 75145a89-2fe8-4dee-aaec-30012d5a1df4  3   202   0.022306  86.0

# 콤보 247건 / 문항 686개 / 417s → 36 콤보/분
# 접수 HTTP: 202=247 비202=0  (SLO 100% 202)
# 접수 응답: avg 1.418s  p50 0.024s  p95 8.453s  max 9.913s  (SLO p95 ≤ 0.5s)
# 접수→완료(클라이언트 폴링 기준, +≤2s): avg 33.3s  p50 22.4s  p95 75.9s  max 103.3s
# 큐 깊이(5s 샘플 75회): avg 5  max 95   처리 중: avg 30  max 113
# HikariCP active: avg 4.8 max 50   pending max 72   힙 사용: avg 0MB max 0MB
# 잡 상태: COMPLETED=237 COMPLETED_WITH_FAILURES=10 
# 문항 상태: DONE=676 FAILED=10 
# 접수→완료 DB(초): min 9 / avg 30.3 / max 96.5
# GC 전: (GC 없음)
# GC 후: jvm_gc_pause_seconds_count{action="end of minor GC",cause="CodeCache GC Threshold",gc="G1 Young Generation"} 4 jvm_gc_pause_seconds_sum{action="end of minor GC",cause="CodeCache GC Threshold",gc="G1 Young Generation"} 0.041 jvm_gc_pause_seconds_count{action="end of minor GC",cause="G1 Evacuation Pause",gc="G1 Young Generation"} 7 jvm_gc_pause_seconds_sum{action="end of minor GC",cause="G1 Evacuation Pause",gc="G1 Young Generation"} 0.194 jvm_gc_pause_seconds_count{action="end of minor GC",cause="G1 Humongous Allocation",gc="G1 Young Generation"} 3 jvm_gc_pause_seconds_sum{action="end of minor GC",cause="G1 Humongous Allocation",gc="G1 Young Generation"} 0.041 
# 서버 생존: {"status":"UP"}
